"","country","population","gdp_per_capita","life_expectancy"
"1","Austria",8950000,50022.612,81.7
"2","Belgium",11458000,45175.585,81.6
"3","Bulgaria",6960000,9518.437,71.3
"4","Croatia",4060000,14949.759,78.09
"5","Cyprus",876000,27719.69,80.58
"6","Czech Republic",10638000,23213.954,79.1
"7","Denmark",5806000,59795.269,81.2
"8","Estonia",1319000,23523.596,78.2
"9","Finland",5518000,48868.742,81.7
"10","France",64824000,41760.606,82.6
"11","Germany",82969000,46563.989,81.1
"12","Greece",10714000,19974.374,81.4
"13","Hungary",9758000,17463.284,75.9
"14","Iceland",357000,67037.34,82.7
"15","Ireland",4950000,77771.205,82.2
"16","Italy",60360000,32946.524,83
"17","Latvia",1929000,18171.651,74.8
"18","Lithuania",2784000,19266.788,75.6
"19","Luxembourg",614000,113196.487,82.2
"20","Malta",485000,30650.168,82.12
"21","Netherlands",17231000,52367.849,81.8
"22","Norway",5356000,77975.429,82.7
"23","Poland",37973000,14901.547,77.9
"24","Portugal",10265000,23030.786,81.5
"25","Romania",19522000,12482.971,75.65
"26","Slovakia",5450421,17604.95,77.17
"27","Slovenia",2069000,26170.25,81.1
"28","Spain",46656000,29961.105,83.4
"29","Sweden",10322000,51241.914,82.5
"30","Switzerland",8545000,83716.813,83.6
"31","United Kingdom",66867000,41030.232,81.3
